函数,起始站,终点站,订票日期,姓名,手机号,函数耗时
booking_a_train_ticket,北京,天津,2022-06-06,张三,13888888888,10.884
booking_a_train_ticket,天津,北京,2022-06-07,李四,13999999999,46.922
booking_a_train_ticket,北京,天津,2022-06-08,王五,13777777777,14.243
booking_a_train_ticket,北京,天津,2022-06-09,赵六,13666666666,13.938
booking_a_train_ticket,天津,北京,2022-06-10,钱七,13555555555,43.042
booking_a_train_ticket,北京,天津,2022-06-11,孙八,13444444444,14.256
booking_a_train_ticket,北京,天津,2022-06-12,周九,13333333333,13.218
booking_a_train_ticket,天津,北京,2022-06-13,吴十,13222222222,14.76
booking_a_train_ticket,北京,天津,2022-06-14,郑十一,13111111111,13.864
booking_a_train_ticket,北京,天津,2022-06-15,王十二,1300000000,43.396
booking_a_train_ticket,天津,北京,2022-06-16,赵十三,12999999999,14.688
booking_a_train_ticket,北京,天津,2022-06-17,钱十四,12888888888,44.383
